onet_major_x,onet_major_y,source,target,value
11,11,Management,Management,27813
11,13,Management,Business and Financial Operations,4172
11,15,Management,Computer and Mathematical,1170
11,17,Management,Architecture and Engineering,525
11,19,Management,"Life, Physical, and Social Science",389
11,21,Management,Community and Social Service,645
11,23,Management,Legal,281
11,25,Management,Educational Instruction and Library,735
11,27,Management,"Arts, Design, Entertainment, Sports, and Media",1068
11,29,Management,Healthcare Practitioners and Technical,417
11,31,Management,Healthcare Support,49
11,33,Management,Protective Service,60
11,35,Management,Food Preparation and Serving Related,109
11,37,Management,Building and Grounds Cleaning and Maintenance,30
11,39,Management,Personal Care and Service,129
11,41,Management,Sales and Related,2407
11,43,Management,Office and Administrative Support,1205
11,45,Management,"Farming, Fishing, and Forestry",12
11,47,Management,Construction and Extraction,42
11,49,Management,"Installation, Maintenance, and Repair",64
11,51,Management,Production,95
11,53,Management,Transportation and Material Moving,94
13,11,Business and Financial Operations,Management,11079
13,13,Business and Financial Operations,Business and Financial Operations,18696
13,15,Business and Financial Operations,Computer and Mathematical,1641
13,17,Business and Financial Operations,Architecture and Engineering,306
13,19,Business and Financial Operations,"Life, Physical, and Social Science",257
13,21,Business and Financial Operations,Community and Social Service,243
13,23,Business and Financial Operations,Legal,338
13,25,Business and Financial Operations,Educational Instruction and Library,427
13,27,Business and Financial Operations,"Arts, Design, Entertainment, Sports, and Media",586
13,29,Business and Financial Operations,Healthcare Practitioners and Technical,198
13,31,Business and Financial Operations,Healthcare Support,29
13,33,Business and Financial Operations,Protective Service,67
13,35,Business and Financial Operations,Food Preparation and Serving Related,45
13,37,Business and Financial Operations,Building and Grounds Cleaning and Maintenance,4
13,39,Business and Financial Operations,Personal Care and Service,66
13,41,Business and Financial Operations,Sales and Related,1787
13,43,Business and Financial Operations,Office and Administrative Support,1140
13,45,Business and Financial Operations,"Farming, Fishing, and Forestry",7
13,47,Business and Financial Operations,Construction and Extraction,26
13,49,Business and Financial Operations,"Installation, Maintenance, and Repair",39
13,51,Business and Financial Operations,Production,86
13,53,Business and Financial Operations,Transportation and Material Moving,81
15,11,Computer and Mathematical,Management,2972
15,13,Computer and Mathematical,Business and Financial Operations,1491
15,15,Computer and Mathematical,Computer and Mathematical,13560
15,17,Computer and Mathematical,Architecture and Engineering,649
15,19,Computer and Mathematical,"Life, Physical, and Social Science",179
15,21,Computer and Mathematical,Community and Social Service,40
15,23,Computer and Mathematical,Legal,57
15,25,Computer and Mathematical,Educational Instruction and Library,226
15,27,Computer and Mathematical,"Arts, Design, Entertainment, Sports, and Media",284
15,29,Computer and Mathematical,Healthcare Practitioners and Technical,62
15,31,Computer and Mathematical,Healthcare Support,11
15,33,Computer and Mathematical,Protective Service,23
15,35,Computer and Mathematical,Food Preparation and Serving Related,14
15,37,Computer and Mathematical,Building and Grounds Cleaning and Maintenance,4
15,39,Computer and Mathematical,Personal Care and Service,18
15,41,Computer and Mathematical,Sales and Related,380
15,43,Computer and Mathematical,Office and Administrative Support,230
15,45,Computer and Mathematical,"Farming, Fishing, and Forestry",2
15,47,Computer and Mathematical,Construction and Extraction,11
15,49,Computer and Mathematical,"Installation, Maintenance, and Repair",43
15,51,Computer and Mathematical,Production,37
15,53,Computer and Mathematical,Transportation and Material Moving,23
17,11,Architecture and Engineering,Management,1989
