occupation,growth
Management (11),59.57
Legal (23),18.44
Computer and Mathematical (15),5.95
Healthcare Practitioners and Technical (29),0.73
Business and Financial Operations (13),-1.07
Architecture and Engineering (17),-3.77
"Arts, Design, Entertainment, Sports, and Media (27)",-8.33
Community and Social Service (21),-9.45
"Installation, Maintenance, and Repair (49)",-14.97
Protective Service (33),-19.09
"Life, Physical, and Social Science (19)",-19.75
Production (51),-20.58
Building and Grounds Cleaning and Maintenance (37),-23.08
"Farming, Fishing, and Forestry (45)",-23.14
Sales and Related (41),-25.71
Construction and Extraction (47),-25.73
Educational Instruction and Library (25),-27.07
Transportation and Material Moving (53),-27.50
Office and Administrative Support (43),-38.87
Personal Care and Service (39),-47.23
Healthcare Support (31),-50.08
Food Preparation and Serving Related (35),-51.89
