sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"0311 rifleman, united states marine forces reserve",Infantry (55-3016.00),Infantry (55-3016.00),Infantry (55-3016.00),Infantry (55-3016.00)
"11h anti-armor weapons specialist, u.s. army",Infantry (55-3016.00),"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Infantry (55-3016.00); Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Infantry (55-3016.00);Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)"
"1st mate, commercial fisherman","Captains, Mates, and Pilots of Water Vessels (53-5021.00)","Captains, Mates, and Pilots of Water Vessels (53-5021.00)","Captains, Mates, and Pilots of Water Vessels (53-5021.00)","Captains, Mates, and Pilots of Water Vessels (53-5021.00)"
"1st pressman, gowe printing",Printing Press Operators (51-5112.00),Printing Press Operators (51-5112.00),Printing Press Operators (51-5112.00),Printing Press Operators (51-5112.00)
"2018 world nomad games consultant, undp","Meeting, Convention, and Event Planners (13-1121.00)","Project Management Specialists (13-1082.00); Meeting, Convention, and Event Planners (13-1121.00)","Project Management Specialists (13-1082.00); Business Operations Specialists, All Other (13-1199.00)","Meeting, Convention, and Event Planners (13-1121.00);Project Management Specialists (13-1082.00)"
"2d & 3d, compositing, matchmoving, rotoscoping, upp",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00)
"2d game artist, onesoft",Special Effects Artists and Animators (27-1014.00); Video Game Designers (15-1255.01),Special Effects Artists and Animators (27-1014.00); Video Game Designers (15-1255.01),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00);Video Game Designers (15-1255.01)
"3-11 patrol shift lieutenant, madison county sheriffs office, madison county sheriff's office",First-Line Supervisors of Police and Detectives (33-1012.00),First-Line Supervisors of Police and Detectives (33-1012.00),First-Line Supervisors of Police and Detectives (33-1012.00),First-Line Supervisors of Police and Detectives (33-1012.00)
"3531 motor transport operator, motor transport operator, united states marine corps","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)"
"3d artist, 3d artist lead modeler, disney imagineering research and development",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00)
"3d artist, 3d environment artist, collision studios","Special Effects Artists and Animators (27-1014.00); Artists and Related Workers, All Other (27-1019.00)","Special Effects Artists and Animators (27-1014.00); Artists and Related Workers, All Other (27-1019.00)","Special Effects Artists and Animators (27-1014.00); Artists and Related Workers, All Other (27-1019.00)","Special Effects Artists and Animators (27-1014.00);Artists and Related Workers, All Other (27-1019.00)"
"3d artist, artist, big huge games",Special Effects Artists and Animators (27-1014.00); Video Game Designers (15-1255.01),"Special Effects Artists and Animators (27-1014.00); Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013.00); Artists and Related Workers, All Other (27-1019.00)",Special Effects Artists and Animators (27-1014.00); Video Game Designers (15-1255.01),Special Effects Artists and Animators (27-1014.00);Video Game Designers (15-1255.01)
"3d artist, valkyrie entertainment, llc",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00)
"3d colorist, roush media",Special Effects Artists and Animators (27-1014.00),"Artists and Related Workers, All Other (27-1019.00); Special Effects Artists and Animators (27-1014.00)",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00)
"3d modeler, burut ct",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00)
"3d modeler, demrost studios",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00)
"3d modeler, hatalom systems llc (hsl)",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),"Special Effects Artists and Animators (27-1014.00); Designers, All Other (27-1029.00); Video Game Designers (15-1255.01)",Special Effects Artists and Animators (27-1014.00)
"3d modeler, thunder cloud studio",Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00),Special Effects Artists and Animators (27-1014.00)
